,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
English,English Caps,Chinese (Simplified),Spanish,Hindi,Arabic,Portugese,Russian,Japanese,Javanese,German,Korean,French,Telugu,Italian,Tagalog
the,The,这,los,NS,ال,o,То,NS,The,Die,NS,Les,ది,Il,The.
of,Of,的,De,का,ل,Do,Из,の,Saka,Von,NS,De,యొక్క,Di,Ng.
and,And,和,Y,और,و,E,А также,と,Lan,Und,그리고,Et,మరియు,e,At
to,To,到,Para,प्रति,إلى,Para,К,に,Menyang,Zu,NS,À,కు,Per,To.
a,A,一种,A,ए,أ,UMA,А.,NS,A,EIN,NS,UNE,A.,UN,A.
in,In,在,En,में,في,No,В,の,Ing,In,에,Dans,లో,In,Sa
for,For,为了,Para,के लिये,ل,Para,Для,にとって,Kanggo,Zum,을위한,Pour,కోసం,Per,Para sa
is,Is,是,Es,है,يكون,É,Является,は,Yaiku,Ist,~이다,Est,ఇది,è,Ay
on,On,在,Sobre,पर,تشغيل,Sobre,На,オン,Ing,Auf,에,Au,పై,Sopra,Sa.
that,That,那,Ese,उस,الذي - التي,Este,Что,それか,Kuwi,Dass,저것,Cette,ఆ,Quella,Iyon
by,By,经过,Por,द्वारा,بواسطة,Por,К,に,Dening,Von,에 의해,Par,ద్వారా,Di,Sa pamamagitan ng.
this,This,这个,Esta,इस,هذه,Esse,Этот,この,Iki,Dies,이것,Cette,దీని,Questo,Ito
with,With,和,Con,साथ में,مع,Com,С участием,と,Karo,Mit,와 함께,Avec,తోట,Insieme a,May
i,I,一世,I,मैं,أنا,eu,я,私,Aku,ich,NS,je,I.,io,I.
you,You,你,usted,आप,أنت,Vocês,Ты,君は,Sampeyan,Du,너,Tu,మీరు,Voi,Ikaw
it,It,它,Eso,यह,هو - هي,Isto,Это,それ,Iku,Es,그것,Ce,దీన్ని,Esso,Ito
not,Not,不是,No,नहीं,لا,Não,Нет,いいえ,Ora,Nicht,아니다,Pas,కాదు,Non,Hindi
or,Or,或者,O,या,أو,Ou,Или,または,Utawa,Oder,또는,Ou,లేక,o,O.
be,Be,是,Ser,होना,يكون,Ser,Быть,NS,Dadi,Sei,~이다,Être,అగుపడు,Essere,Maging
are,Are,是,Están,हैं,نكون,Estão,Находятся,は,Yaiku,Sind,~이다,Sommes,Are.,Sono,Ay
from,From,从,De,से,من عند,A partir de,Из,から,Saka,Von,에서,De,నుండి,A partire dal,Mula sa.
at,At,在,A,पर,في,No,В,で,Ing,Bei,~에,À,వద్ద,In,SA.
as,As,作为,Como,जैसा,كما,Como,В качестве,NS,Minangka,Wie,같이,Comme,వంటి,Come,As
your,Your,您的,Tu,आपका,لك,Sua,Ваш,あなたの,Sampeyan,Ihre,당신의,Ton,నీ,Tuo,Iyong
all,All,全部,Todos,सभी,الجميع,Tudo,Все,全て,Kabeh,Alle,모두,Tous,అన్ని,Tutto,Lahat
have,Have,有,Tengo,पास होना,لديك,Tenho,Иметь,もつ,Duwe,Verfügen über,가지다,Ont,కలియు,Ho,Mayroon
new,New,新的,Nuevo,नया,جديد,Novo,Новый,新しい,Anyar,Neu,새로운,Nouveau,క్రొత్తగా,Nuovo,Bago
more,More,更多的,Más,अधिक,أكثر,Mais,Более,もっと,Liyane,Mehr,더,Suite,మరింత,Di più,Higit pa
an,An,一个,Un,एक,أ,Um,Ан,NS,An,Ein,NS,Un,An.,Un,An.
was,Was,曾是,Era,था,كنت,Era,Было,だった,Yaiku,War,였다,Était,ఉంది,Era,Was
we,We,我们,Nosotros,हम,نحن,Nós,Мы,私たち,Kita,Wir,우리,Nous,మేము,Noi,Kami
will,Will,将要,Voluntad,इच्छा,إرادة,Vai,Воля,意思,Bakal,Wille,할 것이다,Volonté,విల్,Volere,Will
home,Home,家,Hogar,घर,الصفحة الرئيسية,Casa,Дом,家,Omah,Heim,집,Accueil,హోమ్,Casa,Bahay
can,Can,能够,Poder,कर सकना,علبة,lata,Жестяная банка,できる,Bisa,dürfen,할 수있다,Pouvez,చెయ్యవచ్చు,Può,Maaari
us,Us,我们,Nosotros,हम,نحن,Nós,Нас,我ら,Kita,Uns,우리를,Nous,సంయుక్త,Noi,US.
about,About,关于,Sobre,के बारे में,عن,Cerca de,О,だいたい,Babagan,Über,에 대한,Sur,గురించి,Di,Tungkol sa
if,If,如果,Si,अगर,لو,Se,Если,もしも,Yen,Wenn,만약에,Si,ఉంటే,Se,Kung
page,Page,页,Página,पृष्ठ,صفحة,Página,Страница,ページ,Halaman,Buchseite,페이지,Page,పేజీ,Pagina,Iganarako
my,My,我的,Mi,मेरे,لي,Meu,Мой,私の,Pendhaftaran,Mein,나의,Mon,నా,Mio,MY.
has,Has,已,Tiene,है,لديها,Tem,Имеет,もっている,Wis,Hat,가지다,A,చేదు,Ha,May
search,Search,搜索,Buscar,खोज,بحث,Procurar,Поиск,検索,Telusuran,Suche,찾다,Chercher,వెతకండి,Ricerca,Search.
free,Free,自由,Gratis,नि: शुल्क,حر,Sem custos,Бесплатно,無料,Gratis,Kostenlos,무료,Libérer,ఉచితం,Gratuito,Libre
but,But,但,Pero,परंतु,لكن,Mas,Но,しかし,Nanging,Aber,하지만,Mais,కానీ,Ma,Ngunit.
